<DTYYYYMMDD>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20181123;100000;1.14127;1.14183;1.14083;1.14099;1078
20181123;101500;1.14098;1.14131;1.14063;1.14105;763
20181123;103000;1.14080;1.14080;1.13653;1.13723;2959
20181123;104500;1.13724;1.13729;1.13648;1.13696;1288
20181123;110000;1.13697;1.13785;1.13660;1.13774;1195
20181123;111500;1.13774;1.13842;1.13739;1.13799;1004
20181123;113000;1.13800;1.13803;1.13737;1.13754;839
20181123;114500;1.13754;1.13797;1.13738;1.13738;667
20181123;120000;1.13739;1.13797;1.13738;1.13755;734
20181123;121500;1.13754;1.13754;1.13667;1.13670;740
20181123;123000;1.13669;1.13681;1.13523;1.13568;1373
20181123;124500;1.13568;1.13571;1.13459;1.13492;1081
20181123;130000;1.13492;1.13499;1.13429;1.13446;910
20181123;131500;1.13446;1.13471;1.13371;1.13432;1010
20181123;133000;1.13432;1.13517;1.13432;1.13516;822
20181123;134500;1.13516;1.13524;1.13462;1.13474;1287
20181123;140000;1.13474;1.13525;1.13451;1.13515;907
20181123;141500;1.13515;1.13578;1.13507;1.13560;763
20181123;143000;1.13561;1.13598;1.13508;1.13565;666
20181123;144500;1.13565;1.13588;1.13478;1.13479;826
20181123;150000;1.13478;1.13552;1.13468;1.13510;809
20181123;151500;1.13510;1.13511;1.13406;1.13424;1277
20181123;153000;1.13424;1.13497;1.13386;1.13496;1271
20181123;154500;1.13498;1.13573;1.13478;1.13504;1019
20181123;160000;1.13505;1.13568;1.13495;1.13519;929
20181123;161500;1.13519;1.13548;1.13480;1.13502;876
20181123;163000;1.13503;1.13553;1.13468;1.13518;991
20181123;164500;1.13519;1.13540;1.13437;1.13464;1205
20181123;170000;1.13463;1.13508;1.13437;1.13488;918
20181123;171500;1.13488;1.13531;1.13463;1.13513;881
20181123;173000;1.13513;1.13550;1.13505;1.13520;786
20181123;174500;1.13520;1.13588;1.13421;1.13425;1720
20181123;180000;1.13425;1.13449;1.13339;1.13383;1500
20181123;181500;1.13383;1.13413;1.13346;1.13360;748
20181123;183000;1.13360;1.13398;1.13334;1.13350;632
20181123;184500;1.13350;1.13360;1.13311;1.13321;684
